track_name,artist_name,genre,popularity,danceability,energy,loudness,tempo,valence,acousticness,duration_ms
No Woman,Whitney,Rock,63,0.581,0.4,-8.739,112.331,0.433,0.893,237973
My Only One (No Hay Nadie Más),Sebastian Yatra,Pop,68,0.727,0.526,-6.307,105.086,0.681,0.693,198280
You Said (feat. Quavo),Young Thug,Hip-Hop,59,0.577,0.557,-6.894,119.977,0.177,0.147,402067
The Death of Me,City and Colour,Folk,39,0.563,0.725,-6.366,102.962,0.677,0.293,190067
Me And Those Dreamin' Eyes Of Mine,D'Angelo,Soul,48,0.511,0.402,-10.695,83.339,0.503,0.702,286800
Fiddle Dee Dee,Juice Music,Children's Music,0,0.967,0.366,-12.628,110.048,0.964,0.585,79253
"Bright Lights, Big City",Jimmy Reed,Blues,27,0.744,0.349,-9.234,92.433,0.734,0.973,156973
Garden Scene,Randy Edelman,Soundtrack,20,0.0623,0.021,-29.708,58.082,0.0339,0.988,200973
Simple Science - Radio Edit,Zero 7,Electronic,25,0.678,0.715,-7.656,116.995,0.902,0.0123,238040
Mixer at Delta Chi,Stephen Lynch,Comedy,30,0.606,0.814,-6.94,132.043,0.84,0.515,126413
So Far So Good,Benny Sings,Jazz,35,0.767,0.371,-14.36,95.01,0.598,0.312,165893
Real Peach,Henry Jamison,Pop,69,0.579,0.559,-7.338,151.985,0.328,0.398,233289
Ready Now,The Cat Empire,Jazz,48,0.621,0.816,-5.007,85.023,0.72,0.0297,194693
Everything Apart,Foxwarren,Folk,53,0.656,0.324,-12.341,80.982,0.11,0.19,256917
Over My Shoulder,Two Another,Soul,55,0.815,0.81,-5.842,115.997,0.612,0.135,240104
"Psalm 23 (Surely Goodness, Surely Mercy)",Shane & Shane,World,51,0.509,0.276,-10.406,109.707,0.138,0.203,287080
"I'm No Fool (As a Pedestrian) / Stop, Look and Listen",Cliff Edwards,Movie,1,0.642,0.27,-12.059,164.488,0.795,0.816,122827
Untitled (How Does It Feel),D'Angelo,Children’s Music,60,0.838,0.304,-9.975,112.618,0.221,0.16,430800
Pulaski,Andrew Bird,Indie,45,0.453,0.717,-7.724,111.019,0.393,0.174,242147
Starvation,The Pioneers,Reggae,33,0.707,0.536,-9.459,170.863,0.966,0.574,161320
Hands,Brandt Orange,Soul,47,0.435,0.398,-8.77,111.993,0.289,0.723,284870
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,Pop,72,0.589,0.658,-5.288,77.521,0.251,0.0242,223973
The Path (A New Beginning),Gustavo Santaolalla,Soundtrack,51,0.635,0.256,-14.187,92.025,0.249,0.874,167067
Jackie Chan,Preme,Rap,66,0.749,0.641,-5.268,140.08,0.409,0.538,223173
Easy Way Out,LEISURE,Soul,52,0.875,0.483,-9.275,105.023,0.443,0.201,232447
The Alphabet Song,The Countdown Kids,Children's Music,0,0.529,0.538,-11.549,82.517,0.797,0.383,131907
"Gimme, Gimme (Live)",Susan Egan,Movie,13,0.473,0.476,-8.038,100.185,0.317,0.469,256994
First Rain,Teen Daze,Indie,50,0.225,0.151,-16.13,147.697,0.0517,0.964,237547
Sunday (B-Sides),Moby,Electronic,25,0.687,0.63,-9.82,126.004,0.108,0.159,303440
Higher + Wider + Deeper,Citipointe Live,World,36,0.368,0.463,-9.916,180.108,0.0475,0.00498,558973
Nataraja,Jai Uttal,World,29,0.61,0.244,-16.337,180.033,0.54,0.938,905867
What You Want,THEY.,Soul,42,0.68,0.909,-4.74,147.927,0.809,0.0779,190358
Strange Feeling,Billy Stewart,Blues,28,0.435,0.33,-15.266,173.526,0.867,0.788,129907
Sails,Pat Barrett,World,52,0.276,0.249,-8.751,136.231,0.158,0.816,323520
...Girl,Mura Masa,Soul,45,0.779,0.74,-9.084,176.061,0.458,0.182,170455
Wildest Ones,Eves Karydas,Indie,61,0.603,0.337,-10.325,139.824,0.164,0.68,244267
Polichinelle,Chantal Goya,Movie,21,0.576,0.814,-7.64,132.228,0.802,0.24,210427
Meet the Monster,Five Finger Death Punch,Alternative,42,0.565,0.922,-4.936,130.025,0.393,0.000242,262853
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,Rap,64,0.728,0.62,-7.533,81.998,0.885,0.038,176675
Rocks,BONES,Hip-Hop,51,0.653,0.581,-10.909,83.96,0.116,0.229,137000
Flow with It (You Got Me Feeling Like),St. Paul & The Broken Bones,Soul,59,0.61,0.752,-5.062,89.995,0.832,0.294,196867
Seven,Rainbow Kitten Surprise,Children’s Music,61,0.641,0.531,-7.243,135.564,0.194,0.0492,225413
Frogs And Bears,Mitch Hedberg,Comedy,31,0.406,0.391,-14.742,55.484,0.66,0.49,180000
Promise Me,Badflower,Rock,54,0.591,0.797,-4.675,104.014,0.351,0.00462,229667
Talva Lumi,Cantoma,World,37,0.655,0.664,-9.094,109.993,0.679,0.0937,268573
"Lucia di Lammermoor / Act 1: ""Regnava nel silenzio""",Gaetano Donizetti,Opera,11,0.247,0.138,-18.226,78.005,0.0393,0.982,247933
The Scarecrow,Avantasia,Classical,45,0.237,0.871,-4.382,93.004,0.293,0.0015,672573
Dopeman,Less Than Jake,Ska,35,0.537,0.921,-2.977,98.029,0.973,0.0367,126373
Bad Company,Five Finger Death Punch,Alternative,66,0.557,0.886,-4.196,114.025,0.17,0.000595,262440
Do I Have to Talk You Into It,Spoon,Folk,53,0.692,0.9,-4.273,79.038,0.931,0.112,260080
"Bad Case Of Loving You (Doctor, Doctor)",Robert Palmer,Folk,48,0.677,0.748,-12.328,146.03,0.746,0.00701,192440
Just 'Cos You Can Don't Mean You Should,Joe Bonamassa,Blues,37,0.344,0.725,-5.368,178.788,0.706,0.000388,400240
Neon Church,Tim McGraw,Country,59,0.471,0.791,-4.817,128.007,0.355,0.0836,213399
Call It a Night,Wild Rivers,Indie,54,0.579,0.38,-7.403,144.387,0.338,0.587,247794
Beyond Time,Dean Evenson,World,26,0.248,0.0527,-22.65,138.673,0.102,0.99,255229
Dream,Park Hyo Shin,World,28,0.39,0.118,-15.537,140.12,0.235,0.923,299938
Since We're Alone,Niall Horan,Dance,57,0.709,0.68,-7.954,126.961,0.818,0.322,242792
#24,Aphex Twin,World,28,0.227,0.293,-18.071,138.386,0.0337,0.941,341880
Choose,Why Don't We,Pop,64,0.663,0.715,-4.536,77.024,0.607,0.0211,173053
FML,Kanye West,Rap,70,0.667,0.423,-7.146,125.116,0.156,0.313,236120
Please Don't Judge Me,Bigg Robb,Blues,28,0.699,0.502,-6.976,142.006,0.687,0.222,351532
Affairs Of The Heart,Damian Marley,Reggae,47,0.538,0.655,-7.377,113.283,0.693,0.318,239707
Sweet Revenge,John Prine,Rock,53,0.577,0.419,-11.945,163.942,0.855,0.613,161867
"Requiem in D Minor, K. 626: 1. Introitus: Requiem - Live",Wolfgang Amadeus Mozart,Classical,41,0.2,0.194,-18.541,95.47,0.0634,0.977,271507
One More Hour - Soundtrack Version,Randy Newman,Movie,14,0.0828,0.196,-17.521,65.489,0.0805,0.834,167760
Colour Me In,Damien Rice,Folk,43,0.48,0.125,-14.061,116.391,0.233,0.817,318023
Los Angeles,X,Alternative,44,0.608,0.791,-5.441,92.743,0.722,0.0871,144821
Stick Out,Pouya,Rap,63,0.77,0.853,-3.849,164.037,0.615,0.0042,135732
So Will I,UPPERROOM,World,37,0.378,0.431,-9.339,127.847,0.077,0.102,720266
Iris: Pt. 2 - Instrumental,James Horner,Soundtrack,28,0.152,0.101,-25.083,71.049,0.033,0.927,204067
Animal,Against Me!,Ska,31,0.247,0.727,-5.269,171.205,0.444,2.04e-05,200040
Mona,Bo Diddley,Blues,30,0.479,0.569,-12.203,105.513,0.886,0.844,142427
Never Been Rocked Enough,Delbert McClinton,Blues,22,0.503,0.657,-9.002,170.224,0.749,0.163,214467
Reaper,Manwolves,Soul,41,0.576,0.769,-4.276,146.026,0.707,0.0304,212385
Amazed,Desperation Band,World,35,0.284,0.262,-9.238,148.119,0.153,0.491,288547
Huarache Lights,Hot Chip,Electronic,52,0.715,0.64,-7.168,113.507,0.4,0.113,329169
覚醒,Superfly,Anime,46,0.537,0.91,-4.455,108.065,0.135,0.112,255373
Tonight (I'm Fuckin' You),Enrique Iglesias,Pop,60,0.674,0.87,-4.688,125.943,0.26,0.0283,231653
Glorious Day (Living He Loved Me) - Live,Casting Crowns,World,27,0.439,0.72,-4.619,79.032,0.39,0.168,282453
Ruby,Dave Rawlings Machine,Children’s Music,55,0.473,0.309,-10.364,120.168,0.37,0.41,294533
Go Outside,Cults,Alternative,49,0.374,0.697,-6.758,77.549,0.493,0.115,204400
Can’t Hide Red,Florida Georgia Line,Rock,67,0.514,0.864,-3.246,94.927,0.471,0.0256,181600
Love Is All (feat. Kim Waters),Chuck Loeb,Jazz,29,0.665,0.645,-7.959,143.981,0.693,0.578,311253
"More, Holy Spirit - Live",Covenant Worship,World,30,0.223,0.386,-9.44,72.599,0.176,0.468,581083
"Clean It off, B---",Jim Norton,Comedy,22,0.447,0.963,-4.065,170.326,0.134,0.787,148720
Psalm 45 (Live),Shane & Shane,World,50,0.3,0.365,-8.368,105.831,0.125,0.432,328889
Ever Really Wanted,Slightly Stoopid,Reggae,31,0.76,0.666,-7.258,88.096,0.86,0.0674,241480
"Puccini: Madama Butterfly, Act 1: ""Ah! Ah! quanto cielo!...Ancora un passo or via"" (Butterfly, Sharpless, Chorus)",Giacomo Puccini,Opera,14,0.198,0.283,-12.662,77.027,0.0664,0.967,180293
Folha de Jurema,Nicola Cruz,Electronic,50,0.647,0.397,-13.234,179.868,0.179,0.718,263689
Subterranean,Minnesota,Electronic,35,0.669,0.793,-6.898,127.994,0.439,0.0497,190119
You Are My King (Amazing Love),"Phillips, Craig & Dean",World,38,0.486,0.611,-7.847,136.263,0.265,0.391,316464
"Dog, Dreams Predict The Future, My Own Culture, Jewish",Eugene Mirman,Comedy,29,0.561,0.399,-14.214,82.266,0.662,0.889,207667
"Clarinet Concerto in A Major, K.622: Clarinet Concerto in A Major, K.622: II. Adagio",Wolfgang Amadeus Mozart,Classical,38,0.173,0.0154,-25.193,131.12,0.0734,0.987,463000
Take My Hand Precious Lord,Charlie Haden,Jazz,34,0.496,0.0156,-28.544,121.267,0.129,0.967,262880
The Thrill Is Gone,B.B. King,Jazz,54,0.547,0.46,-8.759,90.768,0.543,0.344,324733
Party On Da Weekend,Kenne' Wayne,Blues,20,0.884,0.534,-9.658,105.021,0.849,0.182,214707
Headlock,Imogen Heap,Folk,42,0.805,0.371,-10.721,119.974,0.808,0.8,215481
Grey,EXES,Soul,52,0.582,0.474,-9.653,109.902,0.12,0.337,235636
She Is Of The Heavens,Dario Marianelli,Soundtrack,25,0.459,0.309,-16.702,150.529,0.533,0.819,120213
Ballad,Stan Getz,Jazz,35,0.394,0.0755,-17.782,65.409,0.208,0.986,346160
As You Are,Rag'n'Bone Man,Soul,58,0.623,0.797,-4.887,164.006,0.373,0.0386,228520
I Don't Wanna Stop,Ozzy Osbourne,Children’s Music,56,0.578,0.937,-3.926,137.937,0.769,0.000963,239827
Dry Clean Only,Mitch Hedberg,Comedy,31,0.4,0.494,-13.514,73.118,0.736,0.251,87333
Leech Boy,Crywank,Folk,40,0.723,0.304,-14.893,115.208,0.376,0.902,245133
Lucky,311,Reggae,30,0.684,0.879,-8.708,92.43,0.822,0.0275,170173
YaYaYa,RY X,Soul,59,0.482,0.279,-15.37,92.586,0.101,0.734,229533
Death with Dignity,Sufjan Stevens,Rock,63,0.51,0.16,-21.03,170.063,0.383,0.986,239508
Marijuana (feat. Don Carlos),Slightly Stoopid,Reggae,33,0.585,0.763,-6.132,167.693,0.881,0.0453,213493
Incinerate,Sonic Youth,Dance,48,0.52,0.858,-7.914,76.761,0.444,0.096,295813
Samba Tranquille,Thievery Corporation,Jazz,33,0.628,0.569,-9.808,197.955,0.485,0.318,186493
"Parsifal, WWV 111: Act I: Prelude",Richard Wagner,Opera,9,0.102,0.02,-26.28,81.675,0.0295,0.979,736426
I'm With You - Single Edit,Vance Joy,Rock,59,0.584,0.677,-4.336,119.006,0.113,0.0786,221138
Casual Sex,My Darkest Days,Alternative,52,0.669,0.916,-4.228,116.06,0.862,0.0108,193573
Fantasy,SEKAI NO OWARI,Anime,17,0.595,0.902,-3.656,180.003,0.958,0.0391,224053
Basie Is Back in Town,Count Basie,Jazz,37,0.416,0.604,-9.593,204.929,0.711,0.715,198457
UMI Says,Mos Def,Rap,55,0.72,0.67,-10.224,121.342,0.566,0.305,305280
Prodigal,Sidewalk Prophets,Alternative,42,0.562,0.868,-4.189,122.023,0.476,0.000831,206402
Desperate People,Hillsong UNITED,World,25,0.316,0.823,-4.628,179.804,0.28,0.00328,329667
somethingfartoogoodtofeel,The Japanese House,R&B,52,0.211,0.407,-11.223,179.915,0.254,0.617,265897
"Bouge (B.O. ""Bouge"")",Generation B.O.,Movie,6,0.723,0.917,-3.07,105.058,0.855,0.188,202800
Son Mis Deseos,Cardenales Del Exito,Reggaeton,26,0.77,0.759,-8.032,102.019,0.836,0.608,206293
GRRRLS,AViVA,Children’s Music,66,0.549,0.656,-6.515,180.043,0.594,0.0351,228904
Like Me,Casanova,Rap,48,0.527,0.885,-4.39,133.304,0.498,0.00603,221067
Wicked,Future,Pop,63,0.718,0.679,-5.899,157.97,0.205,0.00191,173347
"Nachtstück, D. 672",Ian Bostridge,Opera,8,0.273,0.0413,-23.291,84.532,0.0377,0.985,328453
Où est-elle ?,Daniel Lavoie,Movie,22,0.364,0.266,-12.156,130.048,0.253,0.836,159267
Endless Love,Michelle Simonal,Jazz,50,0.772,0.422,-13.698,132.053,0.878,0.566,173044
Avec La Bouche 'Bye Bye Blues' - Remastered,Henri Salvador,Movie,3,0.508,0.587,-8.576,80.459,0.675,0.0782,151973
Time To Get Tough,The Aggrolites,Ska,34,0.628,0.75,-7.452,148.871,0.795,0.176,143653
Thank You Jesus - Alternate Version/Live,Hillsong Worship,World,29,0.424,0.456,-6.356,157.932,0.134,0.0158,334680
Put My Money on That,Curtis Grimes,Country,37,0.66,0.828,-4.531,102.044,0.553,0.211,185973
The Distance (feat. Ty Dolla $ign),Mariah Carey,R&B,58,0.701,0.691,-5.937,131.843,0.587,0.07,207587
Blue Bayou,Linda Ronstadt,Folk,64,0.732,0.161,-12.817,95.21,0.5,0.739,239400
Forever On Your Side (with JOHNNYSWIM),NEEDTOBREATHE,Pop,61,0.511,0.8,-4.759,114.042,0.531,0.227,294200
I'm on Fire,Bruce Springsteen,Rock,72,0.62,0.446,-14.451,88.591,0.868,0.589,155880
Mattinata spring awaking,Ruggero Leoncavallo,Opera,8,0.216,0.486,-8.735,91.358,0.189,0.967,129440
Messa da Requiem: II. Dies irae,Giuseppe Verdi,Opera,21,0.267,0.347,-15.015,80.323,0.0776,0.877,140467
"Beware, the Sirens",Getter,Electronic,49,0.721,0.899,-4.07,142.018,0.0385,0.0116,141972
Dangerous (feat. Jeremih and PnB Rock),Meek Mill,Pop,74,0.763,0.441,-8.211,86.093,0.538,0.0581,234589
Dile A Tu Marido,Pasabordo,Reggaeton,50,0.79,0.725,-7.805,96.024,0.596,0.301,218320
He's A Mental Giant,Tech N9ne,Hip-Hop,51,0.603,0.944,-4.086,168.084,0.674,0.0208,234147
Done,Ryan Stout,Comedy,12,0.577,0.861,-11.039,88.156,0.258,0.792,86667
You Might Think He Loves You for Your Money but I Know What He Really Loves You for It's Your Brand New Leopard Skin Pillbox Hat,Death Grips,Children’s Music,49,0.317,0.853,-2.751,103.37,0.487,0.00187,161133
Come Together Now,Matt and Kim,Indie,54,0.701,0.655,-6.904,97.98,0.784,0.0945,133267
Birth,Keith Jarrett,Jazz,45,0.392,0.119,-18.487,103.886,0.179,0.959,376546
Bodhisattva,Steely Dan,Blues,44,0.54,0.772,-11.172,109.802,0.811,0.128,318360
"Unaccompanied Cello Suite No. 4 in E-Flat Major, BWV 1010: V. Bourrées I & II",Johann Sebastian Bach,Classical,40,0.52,0.0272,-26.404,70.299,0.545,0.987,296907
Second Dream,Ryuichi Sakamoto,World,26,0.153,0.037,-28.626,66.901,0.101,0.876,73242
Nothing On Us,The Him,Pop,69,0.605,0.733,-4.684,125.029,0.489,0.124,161520
"La Favorita - Italian version - Act 4: ""Spirto gentil, de'sogni miei""",Gaetano Donizetti,Opera,30,0.291,0.203,-16.514,75.358,0.0638,0.979,207733
Killmonger vs T'Challa,Ludwig Goransson,Soundtrack,38,0.289,0.577,-13.378,171.83,0.15,0.523,210094
Graduate,Third Eye Blind,Children’s Music,53,0.498,0.913,-4.805,89.359,0.45,0.000904,187667
Never Meant,American Football,Alternative,53,0.436,0.819,-6.71,144.26,0.405,0.0171,268333
Children of the Korn,Korn,Children’s Music,51,0.697,0.808,-6.803,95.841,0.54,0.00277,232600
Lost In The World,Kanye West,Rap,63,0.609,0.746,-5.249,117.072,0.277,0.115,256587
"Piano Concerto No. 4 in G Major, K. 41: III. Molto allegro",Wolfgang Amadeus Mozart,Classical,25,0.386,0.184,-21.549,140.532,0.611,0.991,224147
Her - Wooli Remix,Excision,Electronic,27,0.368,0.953,-1.877,74.928,0.237,0.00364,217600
Hou la menteuse,Dorothée,Movie,30,0.824,0.782,-7.899,144.493,0.964,0.325,154840
Temptation,Destiny's Child,R&B,44,0.617,0.575,-5.212,72.188,0.278,0.000238,245600
Born Free,The Bouncing Souls,Ska,23,0.22,0.966,-4.005,194.182,0.595,0.000195,83293
Always,Saliva,Alternative,59,0.363,0.906,-4.415,181.964,0.371,0.0122,231200
Ella Se Contradice (feat. Plan B),Baby Rasta,Reggaeton,57,0.767,0.758,-8.116,76.498,0.84,0.111,256757
Help Is On The Way,Rise Against,Alternative,55,0.336,0.951,-3.587,108.043,0.596,0.000123,237480
How Long Will They Mourn Me?,Thug Life,Hip-Hop,51,0.81,0.614,-7.41,87.03,0.431,0.0677,232947
Never Let You Go (feat. Sofia Reyes),Slushii,Pop,67,0.67,0.672,-3.469,165.075,0.643,0.192,162538
On My Soul,Key Glock,Hip-Hop,58,0.824,0.747,-4.594,149.018,0.498,0.0246,177872
Mare,Maldita Vecindad Y Los Hijos Del 5to. Patio,Ska,34,0.851,0.587,-9.391,108.164,0.763,0.13,217427
I Am Your Mind (Part 2),Roy Ayers,Jazz,40,0.694,0.598,-8.177,108.633,0.962,0.138,515840
Heaven Came For Me,Chris Quilala,World,27,0.245,0.467,-12.036,127.494,0.0367,0.501,391400
The Wave,R3HAB,Dance,58,0.748,0.406,-7.462,79.988,0.386,0.211,158062
猫のしっぽ犬のしっぽ,ko-ko-ya,Anime,22,0.703,0.327,-9.983,108.446,0.848,0.784,241440
No Days Off (feat. Monty),Fetty Wap,Hip-Hop,49,0.681,0.57,-5.829,135.121,0.153,0.0407,304200
Nobody Else But You,Trey Songz,Rap,70,0.708,0.612,-6.379,139.913,0.263,0.0381,229013
Sonata No. 6 in D Major: II. Andante assai,Gioachino Rossini,Opera,10,0.129,0.0557,-25.691,63.827,0.0389,0.933,162000
Rocket 69,Todd Rhodes,Blues,31,0.692,0.628,-6.186,137.065,0.774,0.357,164187
U Smile,Justin Bieber,Dance,62,0.388,0.612,-5.141,75.618,0.387,0.537,196907
Giselle: No. 5 - Allegro,Adolphe Adam,Opera,12,0.461,0.107,-21.525,113.12,0.23,0.952,177693
Walking Is Still Honest,Against Me!,Ska,25,0.648,0.976,-7.513,98.881,0.328,0.05,193440
Lose My Cool,Amber Mark,Alternative,60,0.733,0.474,-8.024,102.976,0.328,0.579,214578
Overwhelming,Jon Bellion,Pop,65,0.732,0.629,-4.64,91.7,0.683,0.267,172751
B.O.O.T. (Live),Pepper,Ska,16,0.365,0.869,-4.8,82.884,0.45,0.218,105587
Bluebird,Beach House,Indie,44,0.502,0.582,-10.239,168.054,0.412,0.652,235027
HUMBLE.,Kendrick Lamar,Rap,86,0.908,0.621,-6.638,150.011,0.421,0.000282,177000
